,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,sub,ses,rec,run
1009,2,1.134761098,0.965475738,0.473118812,2.223872662,0.261057332,26,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1010,3,0.924163759,0.917330116,0.592455268,1.396687388,0.053523302,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1011,4,0.586599976,0.607823312,0.461054653,0.69074285,0.004689996,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1012,5,0.439284084,0.451986402,0.351223767,0.500994444,0.001945035,23,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1013,6,0.352518375,0.356216237,0.30031091,0.387386978,0.000493924,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1014,7,0.260971964,0.264036015,0.232294753,0.281706572,0.000188276,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1015,8,0.195171251,0.195598602,0.182958007,0.206268594,4.07E-05,25,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1016,9,0.140064476,0.140579179,0.131625429,0.146770298,1.60E-05,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1017,10,0.102862428,0.102049679,0.097372547,0.108061768,8.17E-06,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1018,11,0.075777661,0.074715003,0.069513172,0.08499606,2.08E-05,25,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1019,12,0.055218122,0.055519566,0.044827949,0.067030676,2.62E-05,23,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1020,13,0.041525808,0.041231913,0.034510665,0.054632649,2.26E-05,24,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1021,14,0.029795777,0.033080418,0.001000001,0.051722631,0.000232323,25,290224.00,P0004,R4,T1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1022,1,1.345195968,1.300679894,0.746857182,2.076863381,0.120288634,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1023,2,1.063800706,1.037442717,0.449666034,2.113633986,0.196231262,26,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1024,3,1.151657678,1.090771818,0.715979831,1.687891144,0.080956147,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1025,4,1.729151855,1.645217481,1.447716758,2.168940263,0.044195462,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1026,5,2.301049871,2.212455939,1.99603012,2.847187732,0.06079525,23,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1027,6,2.848446567,2.807306713,2.581398079,3.329882357,0.034736686,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1028,7,3.842872195,3.787376992,3.549792944,4.304875535,0.044256468,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1029,8,5.129230979,5.11251097,4.848047792,5.4657351,0.028623754,25,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1030,9,7.145499937,7.113449461,6.813367625,7.597316181,0.043097824,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1031,10,9.729169275,9.799165128,9.253966666,10.26983511,0.071865283,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1032,11,13.24329322,13.38419266,11.7652513,14.38576276,0.60674402,25,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1033,12,18.2661717,18.01166819,14.91854273,22.30751164,2.88074979,23,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1034,13,24.38160288,24.26036276,18.30407314,28.97655001,7.020643881,24,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1035,14,173.4680574,30.2293644,19.33389666,999.9994868,102649.0874,25,290224.00,P0004,R4,R1,T1mimics,1,CGv2,P0004,290224,CGv2,1
1036,1,0.938809073,0.940258205,0.731174588,1.160346508,0.017439494,15,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1037,2,1.139137395,1.041547656,0.83794421,1.613626719,0.069587546,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1038,3,0.847980217,0.864223242,0.662447095,1.004831791,0.011865506,15,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1039,4,0.691683213,0.687456608,0.564700603,0.876093566,0.005225563,15,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1040,5,0.470535141,0.465158075,0.422039926,0.529499769,0.00112513,15,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1041,6,0.410796566,0.407516018,0.381174624,0.442367971,0.000318701,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1042,7,0.308199045,0.315100282,0.277813256,0.330134064,0.000278123,17,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1043,8,0.229956037,0.229918584,0.219966635,0.238481984,2.29E-05,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1044,9,0.166861605,0.167314209,0.151743487,0.182545692,6.78E-05,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1045,10,0.109861192,0.110083167,0.104741886,0.114044875,6.73E-06,18,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1046,11,0.089763861,0.089119587,0.085787289,0.096671388,7.97E-06,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1047,12,0.068240341,0.066728476,0.059719671,0.082811013,3.61E-05,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1048,13,0.051876305,0.048164234,0.042081732,0.065956399,6.25E-05,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1049,14,0.043401144,0.042400919,0.030026358,0.058424696,7.47E-05,16,290224.00,P0004,R4,T1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1050,1,1.086809982,1.063537648,0.861811531,1.367662411,0.024046031,15,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1051,2,0.92194625,0.960157066,0.619722014,1.193396874,0.03744036,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1052,3,1.199896439,1.157108432,0.995191443,1.50955451,0.026216013,15,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1053,4,1.460907011,1.454637265,1.141430594,1.770849887,0.02153059,15,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1054,5,2.135891214,2.149806815,1.88857495,2.36944407,0.022430943,15,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1055,6,2.438854348,2.453956537,2.260561491,2.6234695,0.011026354,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1056,7,3.254489346,3.173592839,3.029072456,3.599540264,0.033074955,17,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1057,8,4.350552812,4.349454514,4.193188874,4.546144007,0.008284819,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1058,9,6.007673412,5.976795201,5.478080532,6.590068694,0.088832704,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1059,10,9.107511508,9.084041171,8.768478205,9.547278894,0.046984571,18,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1060,11,11.15110324,11.22088269,10.3443224,11.65673859,0.117315115,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1061,12,14.7610083,14.98614571,12.07568855,16.74490148,1.4876214,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1062,13,19.70575656,20.76960854,15.16153122,23.76328029,8.034577942,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1063,14,23.9888004,23.58440656,17.1160496,33.3040728,23.37063386,16,290224.00,P0004,R4,R1,T2mimics,1,CGv2,P0004,290224,CGv2,1
1064,1,1.404416135,1.304390907,0.844429195,3.082125187,0.217253155,26,290224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,290224,LLRv1,1
1065,2,1.491620145,1.294126511,0.920339346,3.974995136,0.457668801,25,290224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,290224,LLRv1,1
1066,3,1.021878911,0.995519042,0.66701597,1.379185319,0.045808075,24,290224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,290224,LLRv1,1
1067,4,0.666329508,0.680109918,0.539019465,0.757738531,0.003851906,23,290224.00,P0004,R4,T1,T1mimics,1,LLRv1,P0004,290224,LLRv1,1
