,Unnamed: 0,Pos,WM,GM,sub,ses,run,acq,rec,site
299,99,0.248505,8.643723541,0.285648603,TeTolj,1,2,R4,LLRv1,Tommies
300,100,0.251,9.230213288,0.190430128,TeTolj,1,2,R4,LLRv1,Tommies
301,101,0.253495,10.69682354,0.380864804,TeTolj,1,2,R4,LLRv1,Tommies
302,102,0.25599,12.92245296,0.323735084,TeTolj,1,2,R4,LLRv1,Tommies
303,103,0.258485,14.3199412,0.342778324,TeTolj,1,2,R4,LLRv1,Tommies
304,104,0.26097998,15.14790143,0.571290383,TeTolj,1,2,R4,LLRv1,Tommies
305,105,0.263475,15.68292355,0.685556648,TeTolj,1,2,R4,LLRv1,Tommies
306,106,0.26597,15.82094708,0.533210726,TeTolj,1,2,R4,LLRv1,Tommies
307,107,0.26846498,16.02779092,1.199709804,TeTolj,1,2,R4,LLRv1,Tommies
308,108,0.27096,14.35444708,1.790064581,TeTolj,1,2,R4,LLRv1,Tommies
309,109,0.273455,13.33652355,1.485372737,TeTolj,1,2,R4,LLRv1,Tommies
310,110,0.27594998,15.00987955,2.151860442,TeTolj,1,2,R4,LLRv1,Tommies
311,111,0.278445,13.19850002,2.57083743,TeTolj,1,2,R4,LLRv1,Tommies
312,112,0.28094,13.37102943,2.894572514,TeTolj,1,2,R4,LLRv1,Tommies
313,113,0.283435,12.85328766,3.694344475,TeTolj,1,2,R4,LLRv1,Tommies
314,114,0.28593,13.26751178,4.532291173,TeTolj,1,2,R4,LLRv1,Tommies
315,115,0.288425,13.95762943,5.732015307,TeTolj,1,2,R4,LLRv1,Tommies
316,116,0.29092,12.85344119,6.455658436,TeTolj,1,2,R4,LLRv1,Tommies
317,117,0.29341498,11.76636535,7.369645937,TeTolj,1,2,R4,LLRv1,Tommies
318,118,0.29591,12.88794708,8.245723017,TeTolj,1,2,R4,LLRv1,Tommies
319,119,0.298405,11.80101178,9.978657877,TeTolj,1,2,R4,LLRv1,Tommies
320,120,0.30089998,11.16251962,10.37844195,TeTolj,1,2,R4,LLRv1,Tommies
321,121,0.303395,10.3862706,11.46403061,TeTolj,1,2,R4,LLRv1,Tommies
322,122,0.30589,9.471864718,12.73992771,TeTolj,1,2,R4,LLRv1,Tommies
323,123,0.30838498,8.902411321,13.1396788,TeTolj,1,2,R4,LLRv1,Tommies
324,124,0.31088,7.901847069,14.30147341,TeTolj,1,2,R4,LLRv1,Tommies
325,125,0.313375,7.556788245,14.45381933,TeTolj,1,2,R4,LLRv1,Tommies
326,126,0.31587,6.245490113,15.46292636,TeTolj,1,2,R4,LLRv1,Tommies
327,127,0.318365,6.228311773,16.05345151,TeTolj,1,2,R4,LLRv1,Tommies
328,128,0.32086,4.434005888,14.94894358,TeTolj,1,2,R4,LLRv1,Tommies
329,129,0.323355,4.434005888,14.54903553,TeTolj,1,2,R4,LLRv1,Tommies
330,130,0.32584998,4.071645488,15.76761456,TeTolj,1,2,R4,LLRv1,Tommies
331,131,0.328345,3.416082357,15.46311106,TeTolj,1,2,R4,LLRv1,Tommies
332,132,0.33084,2.725964709,14.9108571,TeTolj,1,2,R4,LLRv1,Tommies
