,LabelValue,Mean,Median,Min,Max,Variance,Count,Session,Subject,Acquisition,Quant,Segmentation,Run,Reconstruction,site,date,sub,ses,rec,run
255,4,0.707766326,0.710074186,0.559102237,0.865447402,0.006489877,17,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
256,5,0.50391658,0.505859241,0.424637228,0.567138314,0.001608196,16,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
257,6,0.413204366,0.412033617,0.365274906,0.450903118,0.000448464,16,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
258,7,0.318689688,0.320703596,0.287955403,0.346704185,0.000259463,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
259,8,0.23723958,0.236687496,0.211601317,0.252278894,0.000115449,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
260,9,0.166590566,0.166033953,0.162285641,0.17329675,7.51E-06,14,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
261,10,0.114195109,0.114574365,0.107649229,0.119094193,1.03E-05,17,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
262,11,0.08679851,0.087154239,0.080747291,0.093116842,1.12E-05,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
263,12,0.064623748,0.063769817,0.06088946,0.072398871,1.20E-05,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
264,13,0.051129543,0.050457135,0.045959722,0.057709109,1.66E-05,16,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
265,14,0.039727751,0.039584201,0.033749565,0.050315175,2.45E-05,15,5,P0007,R4,T1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
266,1,0.871439859,0.90633842,0.470838158,1.217174969,0.03770154,15,5,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
267,2,0.870758382,0.865434775,0.483601461,1.204631925,0.032932418,16,5,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
268,3,1.060090829,1.021755493,0.892000669,1.376372653,0.014822262,15,5,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
269,4,1.431809926,1.408303554,1.155471722,1.788581646,0.028112174,17,5,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
270,5,1.997505545,1.97820862,1.763238305,2.354951317,0.027066147,16,5,P0007,R4,R1,T2mimics,1,LLRv1,Cubric,20242818,P0007,5,LLRv1,1
